RiderID,TripNumber,ClipName,ClipFramePath,VideoName,FramePath,Time,Press,Pass_Distance,NearMiss,Seconds,SignedSpeed,Split
1,5,PassingEvent_Duration10s_000566.mp4,PassingEvent_Duration10s_000566,Trip_5.1_GP010010.LRV,MPDS_001/Trip_5.1_GP010010,00:00:31.498000,0,144.0,0,61,60.0,train
20,1,PassingEvent_Duration10s_004393.mp4,PassingEvent_Duration10s_004393,Trip_1.0_GOPR0026.LRV,MPDS_020/Trip_1.0_GOPR0026,00:04:21.331000,0,91.0,1,281,40.0,train
1,4,PassingEvent_Duration10s_000520.mp4,PassingEvent_Duration10s_000520,Trip_4.2_GP020009.LRV,MPDS_001/Trip_4.2_GP020009,00:16:58.214000,0,166.0,0,1031,60.0,train
8,9,PassingEvent_Duration10s_001574.mp4,PassingEvent_Duration10s_001574,Trip_9.0_GOPR0023.LRV,MPDS_008/Trip_9.0_GOPR0023,00:01:36.491000,0,124.0,0,125,50.0,train
27,5,PassingEvent_Duration10s_008664.mp4,PassingEvent_Duration10s_008664,Trip_5.1_GP012955.LRV,MPDS_027/Trip_5.1_GP012955,00:15:06.259000,0,94.5,1,922,60.0,train
4,5,PassingEvent_Duration10s_001211.mp4,PassingEvent_Duration10s_001211,Trip_5.1_GP010009.LRV,MPDS_004/Trip_5.1_GP010009,00:03:34.189000,0,149.5,0,225,50.0,train
9,7,PassingEvent_Duration10s_002251.mp4,PassingEvent_Duration10s_002251,Trip_7.1_GP010109.LRV,MPDS_009/Trip_7.1_GP010109,00:17:06.365000,0,73.5,1,1048,50.0,train
3,14,PassingEvent_Duration10s_000727.mp4,PassingEvent_Duration10s_000727,Trip_14.0_GOPR0095.LRV,MPDS_003/Trip_14.0_GOPR0095,00:16:59.939000,0,137.0,0,1075,50.0,train
1,3,PassingEvent_Duration10s_000378.mp4,PassingEvent_Duration10s_000378,Trip_3.1_GP010008.LRV,MPDS_001/Trip_3.1_GP010008,00:06:46.456000,0,185.0,0,433,60.0,train
55,5,PassingEvent_Duration10s_015511.mp4,PassingEvent_Duration10s_015511,Trip_5.1_GP012155.LRV,MPDS_055/Trip_5.1_GP012155,00:09:10.505000,0,75.0,1,580,50.0,train
62,7,PassingEvent_Duration10s_017810.mp4,PassingEvent_Duration10s_017810,Trip_7.1_GP010062.LRV,MPDS_062/Trip_7.1_GP010062,00:03:24.499000,0,141.0,1,234,80.0,train
1,5,PassingEvent_Duration10s_000574.mp4,PassingEvent_Duration10s_000574,Trip_5.1_GP010010.LRV,MPDS_001/Trip_5.1_GP010010,00:01:48.449000,0,86.0,1,135,60.0,train
2,4,PassingEvent_Duration10s_000104.mp4,PassingEvent_Duration10s_000104,Trip_4.0_GOPR0005.LRV,MPDS_002/Trip_4.0_GOPR0005,00:15:38.633000,0,167.5,0,976,60.0,train
27,3,PassingEvent_Duration10s_008429.mp4,PassingEvent_Duration10s_008429,Trip_3.0_GOPR2952.LRV,MPDS_027/Trip_3.0_GOPR2952,00:04:09.696000,0,72.5,1,291,60.0,train
5,3,PassingEvent_Duration10s_001258.mp4,PassingEvent_Duration10s_001258,Trip_3.0_GOPR0023.LRV,MPDS_005/Trip_3.0_GOPR0023,00:16:05.760000,1,51.5,1,1011,40.0,train
16,2,PassingEvent_Duration10s_003822.mp4,PassingEvent_Duration10s_003822,Trip_2.1_GP014696.LRV,MPDS_016/Trip_2.1_GP014696,00:11:10.809000,0,138.0,1,719,80.0,train
30,4,PassingEvent_Duration10s_009059.mp4,PassingEvent_Duration10s_009059,Trip_4.0_GOPR4718.LRV,MPDS_030/Trip_4.0_GOPR4718,00:08:43.987000,0,85.0,1,582,50.0,train
62,1,PassingEvent_Duration10s_017958.mp4,PassingEvent_Duration10s_017958,Trip_1.2_GP020056.LRV,MPDS_062/Trip_1.2_GP020056,00:03:39.861000,0,90.0,1,271,60.0,train
12,2,PassingEvent_Duration10s_002597.mp4,PassingEvent_Duration10s_002597,Trip_2.0_GOPR0117.LRV,MPDS_012/Trip_2.0_GOPR0117,00:09:55.445000,0,77.5,1,622,60.0,train
8,8,PassingEvent_Duration10s_001566.mp4,PassingEvent_Duration10s_001566,Trip_8.1_GP010022.LRV,MPDS_008/Trip_8.1_GP010022,00:04:27.637000,0,275.0,0,305,50.0,train
50,2,PassingEvent_Duration10s_013822.mp4,PassingEvent_Duration10s_013822,Trip_2.0_GOPR2518.LRV,MPDS_050/Trip_2.0_GOPR2518,00:12:07.754000,1,102.5,0,772,60.0,train
38,1,PassingEvent_Duration10s_011143.mp4,PassingEvent_Duration10s_011143,Trip_1.0_GOPR2121.LRV,MPDS_038/Trip_1.0_GOPR2121,00:13:09.634000,1,118.5,0,827,60.0,train
8,9,PassingEvent_Duration10s_001594.mp4,PassingEvent_Duration10s_001594,Trip_9.1_GP010023.LRV,MPDS_008/Trip_9.1_GP010023,00:09:13.975000,0,195.0,0,612,60.0,train
22,3,PassingEvent_Duration10s_005713.mp4,PassingEvent_Duration10s_005713,Trip_3.0_GOPR0012.LRV,MPDS_022/Trip_3.0_GOPR0012,00:16:41.590000,0,95.0,1,1036,60.0,train
48,9,PassingEvent_Duration10s_013265.mp4,PassingEvent_Duration10s_013265,Trip_9.1_GP012143.LRV,MPDS_048/Trip_9.1_GP012143,00:03:21.678000,1,46.5,1,242,40.0,train
49,5,PassingEvent_Duration10s_013603.mp4,PassingEvent_Duration10s_013603,Trip_5.0_GOPR2980.LRV,MPDS_049/Trip_5.0_GOPR2980,00:07:05.622000,0,89.5,1,462,50.0,train
1,3,PassingEvent_Duration10s_000429.mp4,PassingEvent_Duration10s_000429,Trip_3.2_GP020008.LRV,MPDS_001/Trip_3.2_GP020008,00:14:10.652000,0,123.0,0,889,40.0,train
7,7,PassingEvent_Duration10s_001425.mp4,PassingEvent_Duration10s_001425,Trip_7.2_GP020018.LRV,MPDS_007/Trip_7.2_GP020018,00:14:48.630000,0,191.0,0,926,50.0,train
37,3,PassingEvent_Duration10s_011095.mp4,PassingEvent_Duration10s_011095,Trip_3.1_GP010018.LRV,MPDS_037/Trip_3.1_GP010018,00:11:08.182000,0,98.5,1,679,60.0,train
1,1,PassingEvent_Duration10s_000290.mp4,PassingEvent_Duration10s_000290,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:14:21.274000,0,111.0,0,877,60.0,train
2,2,PassingEvent_Duration10s_000070.mp4,PassingEvent_Duration10s_000070,Trip_2.2_GP020003.LRV,MPDS_002/Trip_2.2_GP020003,00:06:27.390000,0,242.5,0,410,60.0,train
12,5,PassingEvent_Duration10s_002685.mp4,PassingEvent_Duration10s_002685,Trip_5.0_GOPR2104.LRV,MPDS_012/Trip_5.0_GOPR2104,00:13:29.225000,0,62.5,1,822,40.0,train
51,3,PassingEvent_Duration10s_014333.mp4,PassingEvent_Duration10s_014333,Trip_3.0_GOPR0037.LRV,MPDS_051/Trip_3.0_GOPR0037,00:09:10.600000,0,62.0,1,586,40.0,train
4,2,PassingEvent_Duration10s_001120.mp4,PassingEvent_Duration10s_001120,Trip_2.0_GOPR0004.LRV,MPDS_004/Trip_2.0_GOPR0004,00:15:12.541000,0,146.5,0,944,60.0,train
8,3,PassingEvent_Duration10s_001485.mp4,PassingEvent_Duration10s_001485,Trip_3.0_GOPR0013.LRV,MPDS_008/Trip_3.0_GOPR0013,00:02:44.407000,0,241.0,0,188,60.0,train
1,3,PassingEvent_Duration10s_000364.mp4,PassingEvent_Duration10s_000364,Trip_3.1_GP010008.LRV,MPDS_001/Trip_3.1_GP010008,00:03:18.718000,0,168.0,0,241,60.0,train
7,6,PassingEvent_Duration10s_001405.mp4,PassingEvent_Duration10s_001405,Trip_6.0_GOPR0017.LRV,MPDS_007/Trip_6.0_GOPR0017,00:07:57.982000,0,179.0,0,536,50.0,train
5,3,PassingEvent_Duration10s_001245.mp4,PassingEvent_Duration10s_001245,Trip_3.0_GOPR0023.LRV,MPDS_005/Trip_3.0_GOPR0023,00:11:15.483000,0,240.5,0,704,60.0,train
60,3,PassingEvent_Duration10s_017021.mp4,PassingEvent_Duration10s_017021,Trip_3.0_GOPR2529.LRV,MPDS_060/Trip_3.0_GOPR2529,00:13:37.345000,1,102.5,0,838,60.0,train
4,4,PassingEvent_Duration10s_001166.mp4,PassingEvent_Duration10s_001166,Trip_4.0_GOPR0008.LRV,MPDS_004/Trip_4.0_GOPR0008,00:10:46,0,129.5,0,646,60.0,train
7,1,PassingEvent_Duration10s_001334.mp4,PassingEvent_Duration10s_001334,Trip_1.0_GOPR0011.LRV,MPDS_007/Trip_1.0_GOPR0011,00:11:52.670000,0,139.0,0,752,40.0,train
9,5,PassingEvent_Duration10s_001890.mp4,PassingEvent_Duration10s_001890,Trip_5.0_GOPR0106.LRV,MPDS_009/Trip_5.0_GOPR0106,00:17:28.796000,0,121.5,1,1096,70.0,train
41,3,PassingEvent_Duration10s_006541.mp4,PassingEvent_Duration10s_006541,Trip_3.1_GP010042.LRV,MPDS_041/Trip_3.1_GP010042,00:00:01.637000,0,98.5,1,39,40.0,train
16,1,PassingEvent_Duration10s_003484.mp4,PassingEvent_Duration10s_003484,Trip_1.1_GP010025.LRV,MPDS_016/Trip_1.1_GP010025,00:06:59.814000,0,72.0,1,468,60.0,train
3,1,PassingEvent_Duration10s_000683.mp4,PassingEvent_Duration10s_000683,Trip_1.2_GP020005.LRV,MPDS_003/Trip_1.2_GP020005,00:15:39.911000,0,195.0,0,994,60.0,train
23,4,PassingEvent_Duration10s_002387.mp4,PassingEvent_Duration10s_002387,Trip_4.0_GOPR0005.LRV,MPDS_023/Trip_4.0_GOPR0005,00:07:32.185000,0,81.5,1,463,60.0,train
7,7,PassingEvent_Duration10s_001423.mp4,PassingEvent_Duration10s_001423,Trip_7.0_GOPR0018.LRV,MPDS_007/Trip_7.0_GOPR0018,00:01:06.570000,0,244.0,0,100,40.0,train
7,8,PassingEvent_Duration10s_001437.mp4,PassingEvent_Duration10s_001437,Trip_8.0_GOPR0020.LRV,MPDS_007/Trip_8.0_GOPR0020,00:08:45.715000,0,224.0,0,568,50.0,train
1,3,PassingEvent_Duration10s_000410.mp4,PassingEvent_Duration10s_000410,Trip_3.2_GP020008.LRV,MPDS_001/Trip_3.2_GP020008,00:04:36.970000,0,190.0,0,334,60.0,train
8,10,PassingEvent_Duration10s_001611.mp4,PassingEvent_Duration10s_001611,Trip_10.1_GP010024.LRV,MPDS_008/Trip_10.1_GP010024,00:02:45.241000,0,146.0,0,179,60.0,train
24,1,PassingEvent_Duration10s_006689.mp4,PassingEvent_Duration10s_006689,Trip_1.1_GP010015.LRV,MPDS_024/Trip_1.1_GP010015,00:12:54.965000,1,114.5,0,832,60.0,train
44,4,PassingEvent_Duration10s_012479.mp4,PassingEvent_Duration10s_012479,Trip_4.2_GP023973.LRV,MPDS_044/Trip_4.2_GP023973,00:12:49.888000,0,96.0,1,822,50.0,train
1,1,PassingEvent_Duration10s_000222.mp4,PassingEvent_Duration10s_000222,Trip_1.0_GOPR0006.LRV,MPDS_001/Trip_1.0_GOPR0006,00:09:22.812000,0,155.0,0,611,50.0,train
8,11,PassingEvent_Duration10s_001643.mp4,PassingEvent_Duration10s_001643,Trip_11.0_GOPR0025.LRV,MPDS_008/Trip_11.0_GOPR0025,00:11:37.632000,0,146.0,0,735,60.0,train
50,6,PassingEvent_Duration10s_014081.mp4,PassingEvent_Duration10s_014081,Trip_6.1_GP012523.LRV,MPDS_050/Trip_6.1_GP012523,00:01:24.624000,1,109.0,0,121,60.0,train
20,7,PassingEvent_Duration10s_005064.mp4,PassingEvent_Duration10s_005064,Trip_7.1_GP010033.LRV,MPDS_020/Trip_7.1_GP010033,00:07:22.894000,0,88.0,1,496,60.0,train
1,5,PassingEvent_Duration10s_000589.mp4,PassingEvent_Duration10s_000589,Trip_5.1_GP010010.LRV,MPDS_001/Trip_5.1_GP010010,00:03:13.506000,0,106.0,0,223,60.0,train
33,1,PassingEvent_Duration10s_009536.mp4,PassingEvent_Duration10s_009536,Trip_1.0_GOPR0008.LRV,MPDS_033/Trip_1.0_GOPR0008,00:02:13.232000,0,95.0,1,147,50.0,train
22,8,PassingEvent_Duration10s_006252.mp4,PassingEvent_Duration10s_006252,Trip_8.1_GP010017.LRV,MPDS_022/Trip_8.1_GP010017,00:04:54.964000,0,95.0,1,352,50.0,train
62,3,PassingEvent_Duration10s_018161.mp4,PassingEvent_Duration10s_018161,Trip_3.1_GP010058.LRV,MPDS_062/Trip_3.1_GP010058,00:17:04.909000,0,139.0,1,1079,80.0,train
43,3,PassingEvent_Duration10s_012188.mp4,PassingEvent_Duration10s_012188,Trip_3.0_GOPR0357.LRV,MPDS_043/Trip_3.0_GOPR0357,00:05:54.858000,0,79.0,1,405,70.0,train
63,9,PassingEvent_Duration10s_018487.mp4,PassingEvent_Duration10s_018487,Trip_9.0_GOPR9794.LRV,MPDS_063/Trip_9.0_GOPR9794,00:06:02.931000,0,79.0,1,418,50.0,train
10,2,PassingEvent_Duration10s_002318.mp4,PassingEvent_Duration10s_002318,Trip_2.0_GOPR0035.LRV,MPDS_010/Trip_2.0_GOPR0035,00:15:19.698000,0,79.0,1,961,70.0,train
22,6,PassingEvent_Duration10s_006014.mp4,PassingEvent_Duration10s_006014,Trip_6.0_GOPR0015.LRV,MPDS_022/Trip_6.0_GOPR0015,00:07:04.400000,1,67.0,1,448,60.0,train
1,5,PassingEvent_Duration10s_000639.mp4,PassingEvent_Duration10s_000639,Trip_5.2_GP020010.LRV,MPDS_001/Trip_5.2_GP020010,00:09:01.317000,0,112.0,0,560,50.0,train
30,4,PassingEvent_Duration10s_009067.mp4,PassingEvent_Duration10s_009067,Trip_4.1_GP014718.LRV,MPDS_030/Trip_4.1_GP014718,00:04:44.450000,0,94.0,1,311,50.0,train
20,5,PassingEvent_Duration10s_004881.mp4,PassingEvent_Duration10s_004881,Trip_5.1_GP010031.LRV,MPDS_020/Trip_5.1_GP010031,00:06:07.638000,0,88.0,1,405,60.0,train
7,3,PassingEvent_Duration10s_001388.mp4,PassingEvent_Duration10s_001388,Trip_3.0_GOPR0014.LRV,MPDS_007/Trip_3.0_GOPR0014,00:10:04.476000,0,157.0,0,633,40.0,train
49,5,PassingEvent_Duration10s_013677.mp4,PassingEvent_Duration10s_013677,Trip_5.1_GP012980.LRV,MPDS_049/Trip_5.1_GP012980,00:08:35.590000,0,117.5,1,550,70.0,train
1,1,PassingEvent_Duration10s_000242.mp4,PassingEvent_Duration10s_000242,Trip_1.1_GP010006.LRV,MPDS_001/Trip_1.1_GP010006,00:03:56.658000,0,269.0,0,275,60.0,train
2,1,PassingEvent_Duration10s_000009.mp4,PassingEvent_Duration10s_000009,Trip_1.0_GOPR0002.LRV,MPDS_002/Trip_1.0_GOPR0002,00:09:40.243000,0,140.5,0,595,60.0,train
26,4,PassingEvent_Duration10s_008029.mp4,PassingEvent_Duration10s_008029,Trip_4.0_GOPR0008.LRV,MPDS_026/Trip_4.0_GOPR0008,00:17:13.449000,1,85.5,1,1060,60.0,train
11,6,PassingEvent_Duration10s_000869.mp4,PassingEvent_Duration10s_000869,Trip_6.0_GOPR2421.LRV,MPDS_011/Trip_6.0_GOPR2421,00:14:37.289000,1,116.0,0,894,60.0,train
2,3,PassingEvent_Duration10s_000079.mp4,PassingEvent_Duration10s_000079,Trip_3.0_GOPR0004.LRV,MPDS_002/Trip_3.0_GOPR0004,00:06:52.201000,0,175.5,0,424,60.0,train
60,11,PassingEvent_Duration10s_017128.mp4,PassingEvent_Duration10s_017128,Trip_11.1_GP012544.LRV,MPDS_060/Trip_11.1_GP012544,00:04:33.548000,0,51.5,1,306,50.0,train
22,8,PassingEvent_Duration10s_006233.mp4,PassingEvent_Duration10s_006233,Trip_8.1_GP010017.LRV,MPDS_022/Trip_8.1_GP010017,00:01:03.840000,0,77.0,1,113,60.0,train
1,3,PassingEvent_Duration10s_000414.mp4,PassingEvent_Duration10s_000414,Trip_3.2_GP020008.LRV,MPDS_001/Trip_3.2_GP020008,00:05:00.850000,0,156.0,0,351,60.0,train
1,4,PassingEvent_Duration10s_000493.mp4,PassingEvent_Duration10s_000493,Trip_4.2_GP020009.LRV,MPDS_001/Trip_4.2_GP020009,00:04:55.914000,0,144.0,0,350,60.0,train
8,8,PassingEvent_Duration10s_001557.mp4,PassingEvent_Duration10s_001557,Trip_8.1_GP010022.LRV,MPDS_008/Trip_8.1_GP010022,00:02:07.430000,0,179.0,0,153,50.0,train
16,2,PassingEvent_Duration10s_003811.mp4,PassingEvent_Duration10s_003811,Trip_2.1_GP014696.LRV,MPDS_016/Trip_2.1_GP014696,00:09:03.825000,0,137.0,1,592,80.0,train
4,5,PassingEvent_Duration10s_001213.mp4,PassingEvent_Duration10s_001213,Trip_5.1_GP010009.LRV,MPDS_004/Trip_5.1_GP010009,00:07:19.340000,0,152.5,0,459,50.0,train
7,3,PassingEvent_Duration10s_001387.mp4,PassingEvent_Duration10s_001387,Trip_3.0_GOPR0014.LRV,MPDS_007/Trip_3.0_GOPR0014,00:10:01.474000,0,131.0,0,629,40.0,train
24,1,PassingEvent_Duration10s_006687.mp4,PassingEvent_Duration10s_006687,Trip_1.1_GP010015.LRV,MPDS_024/Trip_1.1_GP010015,00:12:41.819000,1,146.5,0,810,60.0,train
2,5,PassingEvent_Duration10s_000170.mp4,PassingEvent_Duration10s_000170,Trip_5.2_GP020006.LRV,MPDS_002/Trip_5.2_GP020006,00:00:25.409000,0,258.5,0,50,60.0,train
44,4,PassingEvent_Duration10s_012472.mp4,PassingEvent_Duration10s_012472,Trip_4.2_GP023973.LRV,MPDS_044/Trip_4.2_GP023973,00:08:44.624000,0,97.0,1,561,50.0,train
1,3,PassingEvent_Duration10s_000424.mp4,PassingEvent_Duration10s_000424,Trip_3.2_GP020008.LRV,MPDS_001/Trip_3.2_GP020008,00:12:02.667000,0,195.0,0,762,40.0,train
33,1,PassingEvent_Duration10s_009559.mp4,PassingEvent_Duration10s_009559,Trip_1.0_GOPR0008.LRV,MPDS_033/Trip_1.0_GOPR0008,00:12:01.322000,0,67.0,1,740,60.0,train
26,2,PassingEvent_Duration10s_007701.mp4,PassingEvent_Duration10s_007701,Trip_2.0_GOPR0006.LRV,MPDS_026/Trip_2.0_GOPR0006,00:09:16.534000,0,94.5,1,588,50.0,train
56,5,PassingEvent_Duration10s_016129.mp4,PassingEvent_Duration10s_016129,Trip_5.0_GOPR3985.LRV,MPDS_056/Trip_5.0_GOPR3985,00:11:27.260000,0,63.5,1,703,60.0,train
7,5,PassingEvent_Duration10s_001400.mp4,PassingEvent_Duration10s_001400,Trip_5.0_GOPR0016.LRV,MPDS_007/Trip_5.0_GOPR0016,00:01:56.334000,0,184.0,0,136,50.0,train
5,6,PassingEvent_Duration10s_001290.mp4,PassingEvent_Duration10s_001290,Trip_6.0_GOPR0026.LRV,MPDS_005/Trip_6.0_GOPR0026,00:17:16.175000,0,81.5,1,1046,40.0,train
55,1,PassingEvent_Duration10s_015536.mp4,PassingEvent_Duration10s_015536,Trip_1.1_GP012151.LRV,MPDS_055/Trip_1.1_GP012151,00:03:35.845000,1,79.0,1,266,40.0,train
10,1,PassingEvent_Duration10s_002316.mp4,PassingEvent_Duration10s_002316,Trip_1.0_GOPR0034.LRV,MPDS_010/Trip_1.0_GOPR0034,00:12:31.890000,0,77.0,1,804,60.0,train
61,4,PassingEvent_Duration10s_017352.mp4,PassingEvent_Duration10s_017352,Trip_4.0_GOPR0051.LRV,MPDS_061/Trip_4.0_GOPR0051,00:14:47.964000,0,135.0,1,945,70.0,train
19,1,PassingEvent_Duration10s_004273.mp4,PassingEvent_Duration10s_004273,Trip_1.1_GP012471.LRV,MPDS_019/Trip_1.1_GP012471,00:16:30.108000,0,91.0,1,996,60.0,train
43,6,PassingEvent_Duration10s_012273.mp4,PassingEvent_Duration10s_012273,Trip_6.1_GP011280.LRV,MPDS_043/Trip_6.1_GP011280,00:09:27.109000,0,62.0,1,574,60.0,train
41,1,PassingEvent_Duration10s_006292.mp4,PassingEvent_Duration10s_006292,Trip_1.0_GOPR0039.LRV,MPDS_041/Trip_1.0_GOPR0039,00:12:09.788000,0,94.5,1,776,40.0,train
2,3,PassingEvent_Duration10s_000081.mp4,PassingEvent_Duration10s_000081,Trip_3.0_GOPR0004.LRV,MPDS_002/Trip_3.0_GOPR0004,00:07:52.741000,0,197.5,0,516,60.0,train
61,4,PassingEvent_Duration10s_017339.mp4,PassingEvent_Duration10s_017339,Trip_4.0_GOPR0051.LRV,MPDS_061/Trip_4.0_GOPR0051,00:13:13,1,83.0,1,793,70.0,train
16,1,PassingEvent_Duration10s_003492.mp4,PassingEvent_Duration10s_003492,Trip_1.1_GP010025.LRV,MPDS_016/Trip_1.1_GP010025,00:08:42.483000,1,96.0,1,551,60.0,train
16,2,PassingEvent_Duration10s_003787.mp4,PassingEvent_Duration10s_003787,Trip_2.1_GP014696.LRV,MPDS_016/Trip_2.1_GP014696,00:06:00.102000,0,138.0,1,366,80.0,train
1,5,PassingEvent_Duration10s_000554.mp4,PassingEvent_Duration10s_000554,Trip_5.0_GOPR0010.LRV,MPDS_001/Trip_5.0_GOPR0010,00:08:48.846000,0,136.0,0,579,60.0,train
20,5,PassingEvent_Duration10s_004854.mp4,PassingEvent_Duration10s_004854,Trip_5.0_GOPR0031.LRV,MPDS_020/Trip_5.0_GOPR0031,00:16:08.130000,0,97.0,1,976,60.0,train
62,4,PassingEvent_Duration10s_018291.mp4,PassingEvent_Duration10s_018291,Trip_4.2_GP020059.LRV,MPDS_062/Trip_4.2_GP020059,00:09:15.963000,0,95.0,1,613,60.0,train
61,4,PassingEvent_Duration10s_017375.mp4,PassingEvent_Duration10s_017375,Trip_4.1_GP010051.LRV,MPDS_061/Trip_4.1_GP010051,00:03:28.274000,0,133.0,1,224,80.0,train
2,2,PassingEvent_Duration10s_000034.mp4,PassingEvent_Duration10s_000034,Trip_2.1_GP010003.LRV,MPDS_002/Trip_2.1_GP010003,00:16:15.341000,0,135.5,0,995,60.0,train
3,15,PassingEvent_Duration10s_000729.mp4,PassingEvent_Duration10s_000729,Trip_15.0_GOPR0096.LRV,MPDS_003/Trip_15.0_GOPR0096,00:06:06.552000,0,176.0,0,399,50.0,train
16,2,PassingEvent_Duration10s_003845.mp4,PassingEvent_Duration10s_003845,Trip_2.1_GP014696.LRV,MPDS_016/Trip_2.1_GP014696,00:14:56.960000,0,129.0,1,954,80.0,train
43,3,PassingEvent_Duration10s_012192.mp4,PassingEvent_Duration10s_012192,Trip_3.0_GOPR0357.LRV,MPDS_043/Trip_3.0_GOPR0357,00:06:37.587000,0,111.0,1,432,70.0,train
35,1,PassingEvent_Duration10s_010043.mp4,PassingEvent_Duration10s_010043,Trip_1.0_GOPR5619.LRV,MPDS_035/Trip_1.0_GOPR5619,00:02:52.263000,0,99.0,1,188,60.0,train
11,4,PassingEvent_Duration10s_000800.mp4,PassingEvent_Duration10s_000800,Trip_4.1_GP012419.LRV,MPDS_011/Trip_4.1_GP012419,00:03:25.337000,0,93.0,1,225,60.0,train
39,5,PassingEvent_Duration10s_011755.mp4,PassingEvent_Duration10s_011755,Trip_5.1_GP012498.LRV,MPDS_039/Trip_5.1_GP012498,00:07:30.407000,0,96.0,1,474,60.0,train
4,5,PassingEvent_Duration10s_001184.mp4,PassingEvent_Duration10s_001184,Trip_5.0_GOPR0009.LRV,MPDS_004/Trip_5.0_GOPR0009,00:09:53.178000,0,149.5,0,604,60.0,train
1,4,PassingEvent_Duration10s_000467.mp4,PassingEvent_Duration10s_000467,Trip_4.2_GP020009.LRV,MPDS_001/Trip_4.2_GP020009,00:01:12.650000,0,82.0,1,111,60.0,train
4,5,PassingEvent_Duration10s_001194.mp4,PassingEvent_Duration10s_001194,Trip_5.0_GOPR0009.LRV,MPDS_004/Trip_5.0_GOPR0009,00:13:25.719000,0,114.5,0,848,60.0,train
9,1,PassingEvent_Duration10s_001727.mp4,PassingEvent_Duration10s_001727,Trip_1.1_GP010102.LRV,MPDS_009/Trip_1.1_GP010102,00:02:36.151000,0,53.5,1,165,60.0,train
1,4,PassingEvent_Duration10s_000449.mp4,PassingEvent_Duration10s_000449,Trip_4.1_GP010009.LRV,MPDS_001/Trip_4.1_GP010009,00:05:46.670000,0,131.0,0,386,50.0,train
1,4,PassingEvent_Duration10s_000447.mp4,PassingEvent_Duration10s_000447,Trip_4.1_GP010009.LRV,MPDS_001/Trip_4.1_GP010009,00:05:36.961000,0,185.0,0,394,40.0,train
8,11,PassingEvent_Duration10s_001638.mp4,PassingEvent_Duration10s_001638,Trip_11.0_GOPR0025.LRV,MPDS_008/Trip_11.0_GOPR0025,00:11:00.508000,0,114.0,0,690,60.0,train
